Sr.NO,Date,Start Time,End Time,PM2.5 (ug/m3),PM10 (ug/m3),NO2 (ug/m3),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3)
0,3/5/2021,16:00:00,17:00:00,68.27,143,35.72,12.82,23.12,0.45,100.98
1,3/5/2021,17:00:00,18:00:00,45.2,122.86,49.79,15.74,21.71,0.62,72.2
2,3/5/2021,18:00:00,19:00:00,43.15,127.7,113.36,14.2,19.48,1.18,20.66
3,3/5/2021,19:00:00,20:00:00,52.85,157.48,130.81,14.21,21.76,2,2.48
4,3/5/2021,20:00:00,21:00:00,66.3,189.78,115.76,14.36,21.68,1.43,2.3
5,3/5/2021,21:00:00,22:00:00,72.83,172.56,96.02,15.33,19.48,1.16,1.77
6,3/5/2021,22:00:00,23:00:00,70.15,175.06,103.72,15.23,19.49,1.41,0.25
7,3/5/2021,23:00:00,0:00:00,88.5,197.94,129.98,17.76,24.72,2.41,0.34
8,3/6/2021,0:00:00,1:00:00,132.3,350.42,175.38,16.91,26.89,2.71,0.45
9,3/6/2021,1:00:00,2:00:00,157.05,410.17,201.01,16.77,23.44,1.43,0.03
10,3/6/2021,2:00:00,3:00:00,122.5,224.43,92.61,18.71,21.59,1.1,0.38
11,3/6/2021,3:00:00,4:00:00,109.65,262.26,71.84,18.3,22.17,0.96,0.07
12,3/6/2021,4:00:00,5:00:00,129.7,216.75,66.53,20.7,24.42,1.12,0.16
13,3/6/2021,5:00:00,6:00:00,126.5,218.72,57.63,18.55,22.84,0.78,0.13
14,3/6/2021,6:00:00,7:00:00,106.6,197.22,59.51,17.26,23.05,1.06,0.04
15,3/6/2021,7:00:00,8:00:00,134.55,193.42,47.44,18.13,21.89,1.98,0.32
16,3/6/2021,8:00:00,9:00:00,154.2,301.94,69.98,19.32,20.86,1.48,0.38
17,3/6/2021,9:00:00,10:00:00,155.4,261.72,70.86,15.92,18.6,1.23,4.65
18,3/6/2021,10:00:00,11:00:00,109.55,181.33,33.15,14.19,16.41,0.7,19.09
19,3/6/2021,11:00:00,12:00:00,72.3,145.86,39.93,16.04,17.12,0.73,26.07
20,3/6/2021,12:00:00,13:00:00,74.82,178.86,55.91,21.43,15.23,0.82,47.45
21,3/6/2021,13:00:00,14:00:00,86.67,187,47.78,22.32,14.93,0.98,88.11
22,3/6/2021,14:00:00,15:00:00,94.1,193.47,52.43,21.36,14.05,1,50.34
23,3/6/2021,15:00:00,16:00:00,92.05,182.95,43.38,20.57,13.88,0.76,66.59
24,3/6/2021,16:00:00,17:00:00,79.25,158.25,50.57,17.1,14.59,0.56,66.74
25,3/6/2021,17:00:00,18:00:00,67.6,141.68,65.82,18.2,13.66,0.53,33.23
26,3/6/2021,18:00:00,19:00:00,53.87,145.44,66.05,19.73,12.41,0.67,18.69
27,3/6/2021,19:00:00,20:00:00,57.05,146.19,74.76,23.17,15.88,1.39,2.01
28,3/6/2021,20:00:00,21:00:00,62.5,175.81,60.49,23.95,16.17,1.35,0.63
29,3/6/2021,21:00:00,22:00:00,67.95,163.67,61.3,25,19.09,1.96,0.76
30,3/6/2021,22:00:00,23:00:00,81.17,217.81,57.09,23.62,20.31,2.12,3
31,3/6/2021,23:00:00,0:00:00,104.45,312.56,279.79,20.62,23.52,2.05,1.19
32,3/7/2021,0:00:00,1:00:00,99.84,357.19,473.71,15.11,26.7,2.01,0.32
33,3/7/2021,1:00:00,2:00:00,117.35,316.86,225.97,23.88,23.21,1.78,0.89
34,3/7/2021,2:00:00,3:00:00,103.23,264.72,60.86,26.26,21.93,1.83,1.3
35,3/7/2021,3:00:00,4:00:00,98.13,251.78,49.74,25.13,21.72,1.59,0.65
36,3/7/2021,4:00:00,5:00:00,93.2,202.67,35.84,27.02,23.72,1.48,0.76
37,3/7/2021,5:00:00,6:00:00,90.47,178.11,33.73,23.68,23.88,1.66,1.17
38,3/7/2021,6:00:00,7:00:00,99.55,238.05,41.41,24.05,21.82,1.51,0.86
39,3/7/2021,7:00:00,8:00:00,113.6,224.81,37.37,22.16,24.11,2.1,0.96
40,3/7/2021,8:00:00,9:00:00,133.1,286.47,67.08,24.85,22.52,1.52,1.79
41,3/7/2021,9:00:00,10:00:00,146.27,269.1,56.76,24.65,24.99,1.18,7.22
42,3/7/2021,10:00:00,11:00:00,108.35,221.65,29.59,26.98,42.23,0.67,37.06
43,3/7/2021,11:00:00,12:00:00,74.25,207.34,38.08,27.15,31.47,0.61,48.61
44,3/7/2021,12:00:00,13:00:00,53.33,169.7,32.74,21.77,23.61,0.51,68.44
45,3/7/2021,13:00:00,14:00:00,44.5,299.56,27.03,19.77,19.29,0.43,83.1
46,3/7/2021,14:00:00,15:00:00,35.74,144.85,24.19,19.16,16.8,0.3,71.73
47,3/7/2021,15:00:00,16:00:00,26.3,73.36,20.45,17.55,16.65,0.31,69.79
48,3/7/2021,16:00:00,17:00:00,23.25,68.77,22.58,17.96,14.47,0.26,68.1
