Date_Start Time,Sr.NO,End Time,PM2.5 (ug/m3),PM10 (ug/m3),NO2 (ug/m3),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),PM2.5 (ug/m3) (24HR),PM2.5 (ug/m3) (MIN),PM2.5 (ug/m3) (MAX),PM10 (ug/m3) (24HR),PM10 (ug/m3) (MIN),PM10 (ug/m3) (MAX),NO2 (ug/m3) (24HR),NO2 (ug/m3) (MIN),NO2 (ug/m3) (MAX),Ozone (ug/m3) (8HR),Ozone (ug/m3) (MIN),Ozone (ug/m3) (MAX),CO (mg/m3) (8HR),CO (mg/m3) (MIN),CO (mg/m3) (MAX),SO2 (ug/m3) (24HR),SO2 (ug/m3) (MIN),SO2 (ug/m3) (MAX),NH3 (ug/m3) (24HR),NH3 (ug/m3) (MIN),NH3 (ug/m3) (MAX)
2021-03-06 00:00:00,8,1:00:00,132.3,350.42,175.38,16.91,26.89,2.71,0.45,71.0611111111111,43.15,132.3,181.86666666666667,122.86,350.42,105.61555555555555,35.72,175.38,12.55625,0.25,72.2,1.615,0.62,2.71,22.03666666666667,19.48,26.89,15.173333333333334,12.82,17.76
2021-03-06 01:00:00,9,2:00:00,157.05,410.17,201.01,16.77,23.44,1.43,0.03,79.66,43.15,157.05,204.697,122.86,410.17,115.155,35.72,201.01,3.535,0.03,20.66,1.7162499999999998,1.16,2.71,22.177,19.48,26.89,15.333000000000002,12.82,17.76
2021-03-06 02:00:00,10,3:00:00,122.5,224.43,92.61,18.71,21.59,1.1,0.38,83.55454545454546,43.15,157.05,206.4909090909091,122.86,410.17,113.10545454545455,35.72,201.01,1.0,0.03,2.48,1.70625,1.1,2.71,22.123636363636365,19.48,26.89,15.639999999999999,12.82,18.71
2021-03-06 03:00:00,11,4:00:00,109.65,262.26,71.84,18.3,22.17,0.96,0.07,85.72916666666667,43.15,157.05,211.13833333333332,122.86,410.17,109.66666666666667,35.72,201.01,0.69875,0.03,2.3,1.57625,0.96,2.71,22.1275,19.48,26.89,15.861666666666666,12.82,18.71
2021-03-06 04:00:00,12,5:00:00,129.7,216.75,66.53,20.7,24.42,1.12,0.16,89.11153846153846,43.15,157.05,211.57,122.86,410.17,106.34846153846154,35.72,201.01,0.43125,0.03,1.77,1.5375,0.96,2.71,22.303846153846152,19.48,26.89,16.23384615384615,12.82,20.7
2021-03-06 05:00:00,13,6:00:00,126.5,218.72,57.63,18.55,22.84,0.78,0.13,91.78214285714286,43.15,157.05,212.0807142857143,122.86,410.17,102.86857142857143,35.72,201.01,0.22625,0.03,0.45,1.49,0.78,2.71,22.342142857142857,19.48,26.89,16.399285714285714,12.82,20.7
2021-03-06 06:00:00,14,7:00:00,106.6,197.22,59.51,17.26,23.05,1.06,0.04,92.77,43.15,157.05,211.09,122.86,410.17,99.97800000000001,35.72,201.01,0.2,0.03,0.45,1.44625,0.78,2.71,22.389333333333337,19.48,26.89,16.456666666666667,12.82,20.7
2021-03-06 07:00:00,15,8:00:00,134.55,193.42,47.44,18.13,21.89,1.98,0.32,95.38125,43.15,157.05,209.985625,122.86,410.17,96.694375,35.72,201.01,0.1975,0.03,0.45,1.3925,0.78,2.71,22.358125,19.48,26.89,16.56125,12.82,20.7
2021-03-06 08:00:00,16,9:00:00,154.2,301.94,69.98,19.32,20.86,1.48,0.38,98.84117647058824,43.15,157.05,215.39470588235295,122.86,410.17,95.12294117647059,35.72,201.01,0.18875,0.03,0.38,1.2387499999999998,0.78,1.98,22.270000000000003,19.48,26.89,16.723529411764705,12.82,20.7
2021-03-06 09:00:00,17,10:00:00,155.4,261.72,70.86,15.92,18.6,1.23,4.65,101.98333333333333,43.15,157.05,217.96833333333336,122.86,410.17,93.775,35.72,201.01,0.7662500000000001,0.04,4.65,1.2137499999999999,0.78,1.98,22.066111111111113,18.6,26.89,16.678888888888892,12.82,20.7
2021-03-06 10:00:00,18,11:00:00,109.55,181.33,33.15,14.19,16.41,0.7,19.09,102.38157894736842,43.15,157.05,216.04000000000002,122.86,410.17,90.58421052631579,33.15,201.01,3.105,0.04,19.09,1.1637499999999998,0.7,1.98,21.76842105263158,16.41,26.89,16.547894736842107,12.82,20.7
2021-03-06 11:00:00,19,12:00:00,72.3,145.86,39.93,16.04,17.12,0.73,26.07,100.8775,43.15,157.05,212.531,122.86,410.17,88.0515,33.15,201.01,6.355,0.04,26.07,1.135,0.7,1.98,21.536,16.41,26.89,16.5225,12.82,20.7
2021-03-06 12:00:00,20,13:00:00,74.82,178.86,55.91,21.43,15.23,0.82,47.45,99.63666666666666,43.15,157.05,210.92761904761906,122.86,410.17,86.52095238095238,33.15,201.01,12.266250000000001,0.04,47.45,1.0975,0.7,1.98,21.235714285714284,15.23,26.89,16.756190476190476,12.82,21.43
2021-03-06 13:00:00,21,14:00:00,86.67,187.0,47.78,22.32,14.93,0.98,88.11,99.04727272727273,43.15,157.05,209.84000000000003,122.86,410.17,84.76,33.15,201.01,23.26375,0.04,88.11,1.1225,0.7,1.98,20.94909090909091,14.93,26.89,17.009090909090908,12.82,22.32
2021-03-06 14:00:00,22,15:00:00,94.1,193.47,52.43,21.36,14.05,1.0,50.34,98.83217391304348,43.15,157.05,209.1282608695652,122.86,410.17,83.35434782608696,33.15,201.01,29.551250000000003,0.32,88.11,1.115,0.7,1.98,20.64913043478261,14.05,26.89,17.198260869565217,12.82,22.32
2021-03-06 15:00:00,23,16:00:00,92.05,182.95,43.38,20.57,13.88,0.76,66.59,98.54958333333333,43.15,157.05,208.0375,122.86,410.17,81.68875,33.15,201.01,37.835,0.38,88.11,0.9624999999999999,0.7,1.48,20.367083333333333,13.88,26.89,17.33875,12.82,22.32
2021-03-06 16:00:00,24,17:00:00,79.25,158.25,50.57,17.1,14.59,0.56,66.74,99.00708333333334,43.15,157.05,208.67291666666665,122.86,410.17,82.30749999999999,33.15,201.01,46.13,4.65,88.11,0.8474999999999999,0.56,1.23,20.011666666666667,13.88,26.89,17.517083333333336,14.19,22.32
2021-03-06 17:00:00,25,18:00:00,67.6,141.68,65.82,18.2,13.66,0.53,33.23,99.94041666666668,43.15,157.05,209.45708333333334,127.7,410.17,82.97541666666667,33.15,201.01,49.7025,19.09,88.11,0.7599999999999999,0.53,1.0,19.67625,13.66,26.89,17.619583333333335,14.19,22.32
2021-03-06 18:00:00,26,19:00:00,53.87,145.44,66.05,19.73,12.41,0.67,18.69,100.38708333333334,52.85,157.05,210.19625,141.68,410.17,81.00416666666668,33.15,201.01,49.6525,18.69,88.11,0.75625,0.53,1.0,19.381666666666668,12.41,26.89,17.85,14.19,22.32
2021-03-06 19:00:00,27,20:00:00,57.05,146.19,74.76,23.17,15.88,1.39,2.01,100.56208333333335,53.87,157.05,209.72583333333333,141.68,410.17,78.66875,33.15,201.01,46.645,2.01,88.11,0.8387499999999999,0.53,1.39,19.136666666666667,12.41,26.89,18.223333333333333,14.19,23.17
