DateTime,AQI,CO,NO,NO2,O3,SO2,PM2.5,PM10,NH3
2020-11-25 01:00:00,5,2296.45,0.1,63.06,12.16,25.99,417.26,457.27,4.81
2020-11-25 02:00:00,5,2323.15,0.73,71.97,10.01,29.8,415.69,457.57,6.59
2020-11-25 03:00:00,5,2616.88,8.16,87.74,15.38,37.19,430.46,477.49,8.36
2020-11-25 04:00:00,5,2216.34,8.27,80.2,62.23,54.84,383.96,422.14,5.07
2020-11-25 05:00:00,5,1895.9,9.72,71.97,85.12,50.55,297.8,331.37,8.49
2020-11-25 06:00:00,5,1508.71,7.6,59.63,114.44,51.5,203.82,230.47,11.78
2020-11-25 07:00:00,5,934.6,2.71,30.5,155.93,53.41,114.32,127.47,10.26
2020-11-25 08:00:00,5,988.01,1.72,31.87,181.68,62.94,121.68,134.36,10.64
2020-11-25 09:00:00,5,1094.82,1.3,42.16,191.69,80.11,140.36,154.94,11.65
2020-11-25 10:00:00,5,1508.71,1.48,78.14,188.83,133.51,221.37,245.29,12.67
2020-11-25 11:00:00,5,1895.9,1.31,106.93,180.24,175.48,305.31,341.9,12.67
2020-11-25 12:00:00,5,1789.09,0.29,94.59,164.51,154.5,294.92,335.25,9.5
2020-11-25 13:00:00,5,1668.93,0.01,73.34,137.33,118.26,273.6,311.16,7.09
2020-11-25 14:00:00,5,1869.2,0,73.34,113.01,103,280.26,318.69,9.5
2020-11-25 15:00:00,5,2056.12,0,74.03,97.28,95.37,282.4,322.05,13.3
2020-11-25 16:00:00,5,2243.04,0,78.14,75.82,76.29,281.29,324.52,16.72
2020-11-25 17:00:00,5,2429.96,0,85,50.07,54.36,288.31,337.54,17.48
2020-11-25 18:00:00,5,2376.56,0.01,87.05,31.47,37.67,284.7,333.44,14.31
2020-11-25 19:00:00,5,2136.23,0.02,80.2,23.25,25.03,268.05,309.34,10.13
2020-11-25 20:00:00,5,1789.09,0,61.69,27.9,19.07,242.32,274.75,7.73
2020-11-25 21:00:00,5,1428.6,0,41.81,36.12,16.45,211.95,236.2,6.9
2020-11-25 22:00:00,5,1161.58,0,29.82,41.49,15.97,177.25,195.65,6.84
2020-11-25 23:00:00,5,1108.17,0,27.76,33.26,13.95,160.66,179.29,6.59
2020-11-26 00:00:00,5,1108.17,0.01,29.13,22.35,12.16,147.48,168.44,6.71
2020-11-26 01:00:00,5,1081.47,0.1,31.53,15.02,10.73,127.17,149.78,7.35
2020-11-26 02:00:00,5,1148.22,1.52,41.47,6.71,12.99,113.21,138.17,9.12
2020-11-26 03:00:00,5,1401.9,13.19,49.35,6.88,18.6,114.9,143.62,11.78
2020-11-26 04:00:00,5,1562.12,23.02,56.21,20.21,25.03,116.54,146.45,14.57
2020-11-26 05:00:00,5,1642.23,22.35,64.43,41.13,30.52,118.73,149.32,17.23
2020-11-26 06:00:00,5,1615.52,14.53,68.55,84.4,38.15,128.22,158.33,18.49
2020-11-26 07:00:00,5,1081.47,4.86,42.16,161.65,47.21,125.42,142.63,11.27
2020-11-26 08:00:00,5,1014.71,3.69,40.44,197.41,68.67,134.8,149.8,10.51
2020-11-26 09:00:00,5,894.55,3.13,41.13,208.86,80.11,126.31,140.51,9.75
2020-11-26 10:00:00,5,961.3,3.44,52.09,191.69,94.41,118.71,135.3,12.79
2020-11-26 11:00:00,5,1081.47,2.85,61.01,157.36,96.32,121.72,141.11,15.58
2020-11-26 12:00:00,5,1174.93,0.73,63.06,141.62,89.65,137.65,157.82,14.57
2020-11-26 13:00:00,5,1241.68,0.01,58.26,135.9,90.6,158.01,177.82,13.17
2020-11-26 14:00:00,5,1295.09,0,54.15,131.61,97.28,172.96,193.09,13.05
2020-11-26 15:00:00,5,1255.04,0,47.98,131.61,103,174.09,193.89,12.54
2020-11-26 16:00:00,5,1054.76,0,38.04,125.89,91.55,152.64,169.91,10.26
2020-11-26 17:00:00,5,867.84,0,29.82,117.3,64.85,126.79,141.43,9.12
2020-11-26 18:00:00,5,720.98,0,23.65,108.72,42.44,103.73,115.56,8.74
2020-11-26 19:00:00,5,700.95,0,24.68,88.69,29.56,90.55,101.54,8.99
2020-11-26 20:00:00,5,727.65,0,26.73,66.52,23.13,83.23,95.26,10.01
2020-11-26 21:00:00,5,734.33,0,27.08,50.78,18.84,77.29,90.59,10.77
2020-11-26 22:00:00,5,727.65,0,26.73,41.84,16.21,75.32,89.09,11.15
2020-11-26 23:00:00,5,727.65,0,26.05,38.98,14.54,79.3,93.08,10.77
2020-11-27 00:00:00,5,734.33,0,26.05,38.98,13.71,87.87,101.64,10.26
2020-11-27 01:00:00,5,774.38,0,29.13,38.27,13.59,99.69,114.05,10.51
2020-11-27 02:00:00,5,934.6,0.07,42.16,30.04,15.97,114.45,131.82,12.67
2020-11-27 03:00:00,5,1108.17,3.91,57.58,23.6,19.07,121.38,140.6,13.81
2020-11-27 04:00:00,5,1041.41,7.82,51.41,46.49,18.6,119.44,137.03,10.77
2020-11-27 05:00:00,5,907.9,5.81,38.39,89.41,17.64,133.51,150.63,8.04
2020-11-27 06:00:00,5,734.33,2.57,22.62,144.48,16.93,148.93,163.47,5.7
2020-11-27 07:00:00,5,480.65,0.76,7.28,151.63,10.37,118.89,126.4,2.25
2020-11-27 08:00:00,5,410.56,0.67,6,135.9,7.57,87.13,92.3,1.96
2020-11-27 09:00:00,5,370.5,0.77,6.26,118.73,6.5,61.45,65.33,2.15
2020-11-27 10:00:00,5,380.52,1.12,9.51,105.86,9.06,50.54,54.36,2.85
2020-11-27 11:00:00,4,433.92,1.51,16.62,94.41,14.42,46.48,51.05,4.12
2020-11-27 12:00:00,4,514.03,0.86,27.08,77.25,18.84,45.12,50.82,5.7
2020-11-27 13:00:00,4,580.79,0.02,34.27,60.08,20.74,43.87,50.96,7.16
2020-11-27 14:00:00,4,614.17,0,31.87,52.93,19.79,44.3,52.97,8.36
2020-11-27 15:00:00,4,607.49,0,26.05,57.94,19.07,49.58,59.32,8.36
2020-11-27 16:00:00,5,594.14,0,22.96,65.8,18.6,59.01,69.46,7.92
2020-11-27 17:00:00,5,614.17,0,22.96,70.1,19.79,67.68,79.08,8.36
2020-11-27 18:00:00,5,614.17,0,23.31,73.67,20.5,73.83,84.78,7.92
2020-11-27 19:00:00,5,587.46,0,22.28,75.1,19.79,77.25,86.44,6.59
2020-11-27 20:00:00,5,554.09,0,19.02,75.82,17.88,80.11,87.9,5.64
2020-11-27 21:00:00,5,534.06,0,15.94,76.53,16.21,83.55,90.39,5.07
2020-11-27 22:00:00,5,520.71,0,14.74,77.96,17.17,90.48,97.38,5.19
2020-11-27 23:00:00,5,527.38,0,14.91,80.11,19.55,100,107.25,5.45
2020-11-28 00:00:00,5,540.73,0,15.59,79.39,22.17,109.05,116.29,5.7
2020-11-28 01:00:00,5,547.41,0,16.79,73.67,22.65,109.64,116.82,5.95
2020-11-28 02:00:00,5,600.82,0.01,21.76,61.51,22.41,102.7,110.93,6.84
2020-11-28 03:00:00,5,647.54,0.82,27.76,50.78,21.94,90.27,99.07,7.28
2020-11-28 04:00:00,5,560.76,2.15,21.42,57.22,17.17,72.74,79.6,5.64
2020-11-28 05:00:00,5,514.03,2.38,15.94,73.67,14.66,69.6,75.93,5.19
2020-11-28 06:00:00,5,467.3,1.63,10.97,98.71,12.52,68.87,74.38,4.81
2020-11-28 07:00:00,5,400.54,0.73,6.08,114.44,8.7,57.61,61.27,3.67
2020-11-28 08:00:00,4,377.18,0.48,5.14,117.3,6.8,47.11,49.97,3.26
2020-11-28 09:00:00,4,373.84,0.38,5.1,110.15,5.6,36.99,39.32,2.88
2020-11-28 10:00:00,4,390.53,0.28,6.17,101.57,7.33,34.1,36.26,2.76
2020-11-28 11:00:00,4,420.57,0.17,9.08,95.84,11.21,35.67,37.95,2.88
2020-11-28 12:00:00,4,453.95,0.03,12.68,90.12,14.78,36.05,38.49,3.07
2020-11-28 13:00:00,4,507.36,0,19.54,77.96,21.7,38.36,41.58,3.86
2020-11-28 14:00:00,4,554.09,0,23.65,67.23,26.46,41.39,45.62,4.94
2020-11-28 15:00:00,4,554.09,0,19.88,66.52,22.17,43.42,48.29,5.38
2020-11-28 16:00:00,4,527.38,0,14.05,72.96,13.71,46.63,51.89,5.64
2020-11-28 17:00:00,5,514.03,0,11.14,77.25,9.42,52.13,58.02,5.95
2020-11-28 18:00:00,5,514.03,0,10.03,79.39,7.75,57.91,63.88,5.95
2020-11-28 19:00:00,5,534.06,0,12,71.53,6.68,60.51,66.64,5.89
2020-11-28 20:00:00,5,560.76,0,13.2,62.23,5.54,60.59,67.22,6.08
2020-11-28 21:00:00,5,574.11,0,12.34,56.51,5.19,60.66,67.77,6.52
2020-11-28 22:00:00,5,620.84,0,13.37,49.35,6.2,62.82,70.7,7.16
2020-11-28 23:00:00,5,680.92,0,15.59,39.7,7.15,65.71,74.24,7.22
2020-11-29 00:00:00,5,727.65,0,18.68,30.04,7.63,68.65,77.82,6.84
2020-11-29 01:00:00,5,794.41,0.03,23.31,19.85,8.11,71.36,81.51,7.03
2020-11-29 02:00:00,5,907.9,0.75,32.9,9.03,9.18,74.95,88.1,8.87
2020-11-29 03:00:00,5,1028.06,8.83,37.36,11.8,9.3,77.88,93.72,10.26
2020-11-29 04:00:00,4,607.49,1.98,13.88,67.95,13.35,46.48,51.59,6.02
2020-11-29 05:00:00,4,594.14,1.7,11.31,94.41,16.45,41.04,45.41,4.5
2020-11-29 06:00:00,4,587.46,1.09,9.17,130.18,18.36,42.12,45.91,3.42
2020-11-29 07:00:00,4,554.09,0.66,6.6,154.5,16.21,40.72,43.83,2.53
2020-11-29 08:00:00,4,594.14,0.59,6.77,170.23,17.17,44.77,48.03,3.17
2020-11-29 09:00:00,5,734.33,0.73,10.63,203.13,26.94,61.86,66.44,5.26
2020-11-29 10:00:00,5,1054.76,1.16,26.05,260.35,59.61,110.21,119.19,10.26
2020-11-29 11:00:00,5,1361.85,1.1,50.04,300.41,92.51,168.6,184.67,13.43
2020-11-29 12:00:00,5,1495.36,0.31,63.75,266.08,95.37,184.09,206.94,13.93
2020-11-29 13:00:00,5,1588.82,0.01,59.63,205.99,80.11,175.89,203.81,14.31
2020-11-29 14:00:00,5,1735.69,0,57.58,165.94,69.62,180.07,213.75,15.33
2020-11-29 15:00:00,5,1842.5,0,54.84,147.34,65.8,186.29,224.5,16.47
2020-11-29 16:00:00,5,1842.5,0,48.67,140.19,59.13,193.2,232.18,14.57
2020-11-29 17:00:00,5,1789.09,0,43.87,125.89,46.25,193.14,231.08,12.03
2020-11-29 18:00:00,5,1642.23,0,42.16,101.57,32.42,175.62,210.25,9.63
2020-11-29 19:00:00,5,1415.25,0,39.07,79.39,21.7,149.95,178.05,6.59
2020-11-29 20:00:00,5,1241.68,0,35.64,62.94,16.69,131.51,154.95,5
2020-11-29 21:00:00,5,1121.52,0,32.56,51.5,14.78,120.63,141.27,4.5
2020-11-29 22:00:00,5,1054.76,0,30.85,45.42,15.26,118.48,137.25,4.5
2020-11-29 23:00:00,5,1014.71,0,29.82,40.41,15.74,121.21,138.82,4.43
2020-11-30 00:00:00,5,1014.71,0,29.82,32.9,14.54,121.2,138.11,4.37
2020-11-30 01:00:00,5,1014.71,0.03,32.22,21.46,12.64,112.02,129.4,5.07
2020-11-30 02:00:00,5,1134.87,1.27,41.47,7.6,13.23,101.65,122.55,7.28
2020-11-30 03:00:00,5,1295.09,12.96,43.18,9.21,15.26,92.77,116.97,9.63
2020-11-30 04:00:00,5,1214.98,16.76,41.47,26.11,18.6,70.67,91.89,10.01
2020-11-30 05:00:00,5,1094.82,12.29,40.44,52.93,23.84,58.67,77.62,9.37
2020-11-30 06:00:00,5,1028.06,6.93,38.73,103,30.99,63.83,81.65,8.87
2020-11-30 07:00:00,5,834.47,2.07,19.36,163.08,30.52,63.9,73.49,7.16
2020-11-30 08:00:00,5,1001.36,1.38,18.68,205.99,34.81,85.42,95.26,8.87
2020-11-30 09:00:00,5,1241.68,1.45,27.76,254.63,57.22,130.34,144,12.29
2020-11-30 10:00:00,5,1842.5,1.79,62.38,326.16,129.7,277.1,304.65,15.07
2020-11-30 11:00:00,5,2082.82,1.26,91.85,331.88,177.38,363.98,404.15,14.69
2020-11-30 12:00:00,5,1762.39,0.33,89.11,246.05,156.4,274.1,312.33,14.31
2020-11-30 13:00:00,5,1588.82,0.01,76.08,153.07,119.21,194.43,226.99,15.07
2020-11-30 14:00:00,5,1735.69,0,76.77,97.28,95.37,172.1,204.62,19.76
2020-11-30 15:00:00,5,1922.61,0,76.77,68.67,82.97,167.56,200.96,24.32
2020-11-30 16:00:00,5,2029.42,0,76.77,50.07,68.67,165.71,202.3,25.33
2020-11-30 17:00:00,5,2162.93,0,79.51,32.9,52.93,170.28,212.42,25.08
2020-11-30 18:00:00,5,2162.93,0.03,80.88,21.1,41.01,168.08,212.06,22.8
2020-11-30 19:00:00,5,2002.72,0.1,76.08,14.66,29.56,154.77,194.57,17.73
2020-11-30 20:00:00,5,1789.09,0.1,67.86,12.34,21.7,140.9,176.05,13.3
2020-11-30 21:00:00,5,1575.47,0.07,57.58,12.34,16.93,130.26,161.68,10.26
2020-11-30 22:00:00,5,1482.01,0.07,51.41,11.62,15.5,126.12,155.45,8.74
2020-11-30 23:00:00,5,1468.66,0.15,48.67,9.21,15.74,128.57,157.21,7.85
2020-12-01 00:00:00,5,1495.36,0.69,49.35,4.74,15.97,134.07,162.95,7.22
2020-12-01 01:00:00,5,1562.12,4.3,47.98,0.76,15.97,138.56,168.59,7.47
2020-12-01 02:00:00,5,1708.98,16.76,45.93,0.08,17.17,140.83,174.6,10.26
2020-12-01 03:00:00,5,1842.5,35.32,43.87,2.68,17.41,133.69,168.87,12.79
2020-12-01 04:00:00,5,1415.25,25.26,43.87,15.91,15.74,89.29,114.49,12.79
2020-12-01 05:00:00,5,1268.39,20.12,47.3,35.05,17.64,69.29,92.89,12.29
2020-12-01 06:00:00,5,1121.52,10.84,46.61,78.68,20.03,63.72,85.23,11.65
2020-12-01 07:00:00,5,600.82,1.84,15.42,141.62,16.45,56.92,66.06,5.95
2020-12-01 08:00:00,5,574.11,0.95,10.54,164.51,13.83,62.87,70.06,5.07
2020-12-01 09:00:00,5,867.84,1.2,17.65,197.41,26.7,87.54,96.93,7.92
2020-12-01 10:00:00,5,1815.8,1.82,53.47,291.82,98.23,224.08,245.25,17.23
2020-12-01 11:00:00,5,2937.32,1.22,104.19,400.54,194.55,491.44,534.9,21.53
2020-12-01 12:00:00,5,2563.48,0.24,98.71,340.46,179.29,445.04,496.35,17.99
2020-12-01 13:00:00,5,1655.58,0.01,65.12,200.27,116.35,244.87,282.68,13.68
2020-12-01 14:00:00,5,1535.42,0,61.69,120.16,82.02,159.86,190.15,17.73
2020-12-01 15:00:00,5,1588.82,0,61.69,80.82,69.62,126.56,155.09,22.04
2020-12-01 16:00:00,5,2002.72,0,78.83,47.21,55.31,143.7,181.72,24.07
2020-12-01 17:00:00,5,2590.18,0.31,101.45,16.09,43.39,179.24,231.7,23.31
2020-12-01 18:00:00,5,2937.32,6.09,109.67,1.12,36.72,198.52,259.4,20.27
2020-12-01 19:00:00,5,2883.91,12.63,108.3,0.07,36.72,197.66,254.88,20.52
2020-12-01 20:00:00,5,2803.8,15.87,106.93,0.01,37.19,197.46,249.58,21.79
2020-12-01 21:00:00,5,2777.1,16.54,109.67,0,39.1,202.8,252.57,26.85
2020-12-01 22:00:00,5,2777.1,15.65,106.93,0.01,36.72,212.32,262.03,27.11
2020-12-01 23:00:00,5,2696.99,13.97,95.96,0.01,23.37,213,259.39,14.82
2020-12-02 00:00:00,5,2376.56,10.84,80.2,0.12,13.23,201.55,240.43,6.14
2020-12-02 01:00:00,5,1575.47,0.7,54.84,6.44,14.42,151.16,176.01,7.66
2020-12-02 02:00:00,5,1281.74,1.96,45.93,5.68,12.04,122.33,146.24,8.11
2020-12-02 03:00:00,5,1161.58,9.72,42.16,13.23,12.04,103.19,125.96,9.37
2020-12-02 04:00:00,5,1014.71,11.74,40.44,34.69,13.11,88.91,108.24,10.01
2020-12-02 05:00:00,5,934.6,10.06,37.7,57.94,14.9,86.42,105.32,10.89
2020-12-02 06:00:00,5,854.49,5.53,31.87,105.86,16.69,91.71,109.91,11.15
2020-12-02 07:00:00,5,507.36,1.19,11.48,157.36,15.14,82.87,92.21,4.75
2020-12-02 08:00:00,5,547.41,0.95,11.14,181.68,20.03,90.7,98.83,4.24
2020-12-02 09:00:00,5,841.14,1.54,22.96,214.58,43.87,120.79,131.4,7.41
2020-12-02 10:00:00,5,1468.66,2.46,56.21,266.08,103.95,213.81,238.78,15.33
2020-12-02 11:00:00,5,1588.82,2.1,74.03,237.47,117.3,231.54,269.67,18.75
2020-12-02 12:00:00,5,1295.09,0.73,69.92,145.91,88.69,172.89,203.21,16.47
2020-12-02 13:00:00,5,1161.58,0.01,61.69,103,73.43,144.53,167.2,13.55
