,DateTime,AQI,CO,NO,NO2,O3,SO2,PM2.5,PM10,NH3,redefined_aqi
0,2020-11-26 00:00:00,5,1108.17,0.01,29.13,22.35,12.16,147.48,168.44,6.71,302.48
1,2020-11-26 01:00:00,5,1081.47,0.1,31.53,15.02,10.73,127.17,149.78,7.35,302.48
2,2020-11-26 02:00:00,5,1148.22,1.52,41.47,6.71,12.99,113.21,138.17,9.12,302.48
3,2020-11-26 03:00:00,5,1401.9,13.19,49.35,6.88,18.6,114.9,143.62,11.78,274.805
4,2020-11-26 04:00:00,5,1562.12,23.02,56.21,20.21,25.03,116.54,146.45,14.57,234.685
5,2020-11-26 05:00:00,5,1642.23,22.35,64.43,41.13,30.52,118.73,149.32,17.23,234.685
6,2020-11-26 06:00:00,5,1615.52,14.53,68.55,84.4,38.15,128.22,158.33,18.49,234.685
7,2020-11-26 07:00:00,5,1081.47,4.86,42.16,161.65,47.21,125.42,142.63,11.27,238.13
8,2020-11-26 08:00:00,5,1014.71,3.69,40.44,197.41,68.67,134.8,149.8,10.51,240.03499999999997
9,2020-11-26 09:00:00,5,894.55,3.13,41.13,208.86,80.11,126.31,140.51,9.75,240.03499999999997
10,2020-11-26 10:00:00,5,961.3,3.44,52.09,191.69,94.41,118.71,135.3,12.79,238.6
11,2020-11-26 11:00:00,5,1081.47,2.85,61.01,157.36,96.32,121.72,141.11,15.58,236.42000000000002
12,2020-11-26 12:00:00,5,1174.93,0.73,63.06,141.62,89.65,137.65,157.82,14.57,236.42000000000002
13,2020-11-26 13:00:00,5,1241.68,0.01,58.26,135.9,90.6,158.01,177.82,13.17,236.42000000000002
14,2020-11-26 14:00:00,5,1295.09,0.0,54.15,131.61,97.28,172.96,193.09,13.05,236.42000000000002
15,2020-11-26 15:00:00,5,1255.04,0.0,47.98,131.61,103.0,174.09,193.89,12.54,236.42000000000002
16,2020-11-26 16:00:00,5,1054.76,0.0,38.04,125.89,91.55,152.64,169.91,10.26,236.42000000000002
17,2020-11-26 17:00:00,5,867.84,0.0,29.82,117.3,64.85,126.79,141.43,9.12,234.37
18,2020-11-26 18:00:00,5,720.98,0.0,23.65,108.72,42.44,103.73,115.56,8.74,212.45
